100.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
103.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
101.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
101.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
101.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
103.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
101.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.30	100.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.33	104.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1.52	101.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.38	100.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1.91	101.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.83	104.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1.57	101.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.79	100.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.78	3.78	103.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.82	0.82	100.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.55	0.55	100.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.44	0.44	100.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.85	4.85	104.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.25	0.25	100.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.52	3.52	3.52	103.52	0.00	0.00	0.00	0.00	0.00	0.00
0.27	0.27	0.27	100.27	0.00	0.00	0.00	0.00	0.00	0.00
0.53	0.53	0.53	100.53	0.00	0.00	0.00	0.00	0.00	0.00
0.79	0.79	0.79	100.79	0.00	0.00	0.00	0.00	0.00	0.00
3.56	3.56	3.56	103.56	0.00	0.00	0.00	0.00	0.00	0.00
1.52	1.52	1.52	101.52	0.00	0.00	0.00	0.00	0.00	0.00
1.61	1.61	1.61	1.61	101.61	0.00	0.00	0.00	0.00	0.00
1.17	1.17	1.17	1.17	101.17	0.00	0.00	0.00	0.00	0.00
1.35	1.35	1.35	1.35	101.35	0.00	0.00	0.00	0.00	0.00
2.64	2.64	2.64	2.64	102.64	0.00	0.00	0.00	0.00	0.00
2.16	2.16	2.16	2.16	2.16	102.16	0.00	0.00	0.00	0.00
2.53	2.53	2.53	2.53	2.53	102.53	0.00	0.00	0.00	0.00
2.44	2.44	2.44	2.44	2.44	2.44	102.44	0.00	0.00	0.00
2.31	2.31	2.31	2.31	2.31	2.31	102.31	0.00	0.00	0.00
1.19	1.19	1.19	1.19	1.19	1.19	1.19	101.19	0.00	0.00
0.97	0.97	0.97	0.97	0.97	0.97	0.97	100.97	0.00	0.00
4.65	4.65	4.65	4.65	4.65	4.65	4.65	104.65	0.00	0.00
0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	100.55	0.00
2.71	2.71	2.71	2.71	2.71	2.71	2.71	2.71	102.71	0.00
1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09	101.09	0.00
3.27	3.27	3.27	3.27	3.27	3.27	3.27	3.27	103.27	0.00
1.94	1.94	1.94	1.94	1.94	1.94	1.94	1.94	1.94	101.94
1.73	1.73	1.73	1.73	1.73	1.73	1.73	1.73	1.73	101.73
2.60	2.60	2.60	2.60	2.60	2.60	2.60	2.60	2.60	102.60
