"","DJI.Close"
"2021-01-04",1
"2021-01-05",1.00554888799992
"2021-01-06",1.02003414363534
"2021-01-07",1.02703954444978
"2021-01-08",1.02892017076309
"2021-01-11",1.02596617482962
"2021-01-12",1.02795135935614
"2021-01-13",1.02767943043402
"2021-01-14",1.02539808377169
"2021-01-15",1.01953319472747
"2021-01-19",1.02337981283639
"2021-01-20",1.03191151814195
"2021-01-21",1.03150220310195
"2021-01-22",1.02557876659865
"2021-01-25",1.02435521568461
"2021-01-26",1.02359552073717
"2021-01-27",1.00262306722796
"2021-01-28",1.01255525817997
"2021-01-29",0.992017193054542
"2021-02-01",0.999603609305346
"2021-02-02",1.01533852308268
"2021-02-03",1.01653357571334
"2021-02-04",1.02752685815081
"2021-02-05",1.0305834090147
"2021-02-08",1.03844207734258
"2021-02-09",1.0381135396264
"2021-02-10",1.04016392763796
"2021-02-11",1.03992896245468
"2021-02-12",1.04084549475503
"2021-02-16",1.04297459222294
"2021-02-17",1.04596128682556
"2021-02-18",1.04200151577937
"2021-02-19",1.0420339559775
"2021-02-22",1.04293950253137
"2021-02-23",1.04345764085427
"2021-02-24",1.05750314450127
"2021-02-25",1.03897973148518
"2021-02-26",1.02344100978892
"2021-03-01",1.04339676705669
"2021-03-02",1.03863264728182
"2021-03-03",1.03461497502028
"2021-03-04",1.02316875774493
"2021-03-05",1.04209948255131
"2021-03-08",1.05222851179505
"2021-03-09",1.05323105582142
"2021-03-10",1.0685923904279
"2021-03-11",1.07483150488671
"2021-03-12",1.08452750281881
"2021-03-15",1.09031167915696
"2021-03-16",1.08609277429848
"2021-03-17",1.09236006388572
"2021-03-18",1.08729551693843
"2021-03-19",1.07954237618937
"2021-03-22",1.08295783706701
"2021-03-23",1.07276560762104
"2021-03-24",1.0726633757794
"2021-03-25",1.07926146483664
"2021-03-26",1.09426279086133
"2021-03-29",1.09752154365467
"2021-03-30",1.09406698655296
"2021-03-31",1.09124107118489
"2021-04-01",1.09692068930983
"2021-04-05",1.10929435994807
"2021-04-06",1.10608652922228
"2021-04-07",1.10661668724193
"2021-04-08",1.10851282280936
"2021-04-09",1.11834052016591
"2021-04-12",1.11651404700648
"2021-04-13",1.11425990614006
"2021-04-14",1.11603403557513
"2021-04-15",1.12612862133794
"2021-04-16",1.13157741004762
"2021-04-19",1.12694259870787
